Date,Check Number,Description,Debit,Credit,Running Balance

03/24/2008,,POTOMAC RUN #1,$60.00,,$11810.98
03/25/2008,0007407,CHECK,$100.00,,$11710.98
03/26/2008,0007459,CHASE           CHECK PYMT,$50.00,,$11660.98
03/26/2008,,STATE FARM RO 27SFPP,$177.89,,$11483.09
03/26/2008,0007462,CHECK,$64.00,,$11419.09
03/27/2008,0007461,VZ WIRELESS ARC ARC,$125.00,,$11294.09
03/27/2008,0007460,CHECK,$69.00,,$11225.09
03/31/2008,,FIDELITY EMP SVCZETA,,$8435.56,$19660.65
03/31/2008,,POTOMAC RUN #1,$300.00,,$19360.65
04/07/2008,,NON SUNTRUST ATM FEE,$2.00,,$19358.65
04/07/2008,,DEPOSIT,,$100.00,$19458.65
04/07/2008,,JPMORGAN CHASE,$63.00,,$19395.65
04/07/2008,,WEGMANS 45131 COLUMBIA,$92.56,,$19303.09
04/07/2008,0007467,CHECK,$300.00,,$19003.09
04/08/2008,,TARGET T1341 FAIRFAX,$39.82,,$18963.27
04/08/2008,0007382,CHECK,$30.00,,$18933.27
04/08/2008,0007465,CHECK,$150.00,,$18783.27
04/08/2008,0007471,CHECK,$1150.00,,$17633.27
04/09/2008,0007468,DOM VA NC POWER BILLPYMT,$110.00,,$17523.27
04/09/2008,0007464,CHECK,$125.00,,$17398.27
04/10/2008,0007469,CHASE           CHECK PYMT,$840.00,,$16558.27
04/10/2008,0007466,CHECK,$2000.00,,$14558.27
04/14/2008,,SOU AEROPOSTALE #11131,$65.31,,$14492.96
04/14/2008,0007470,CHECK,$45.00,,$14447.96
04/15/2008,0007463,CHECK,$500.00,,$13947.96
04/16/2008,,VA DMV STERLING,$19.00,,$13928.96
04/16/2008,,BLOOM #2712,$75.94,,$13853.02
04/16/2008,0007458,CHECK,$20.00,,$13833.02
04/16/2008,0007474,CHECK,$2449.00,,$11384.02
04/18/2008,,INTEREST PAYMENT,,$1.20,$11385.22
04/18/2008,,POTOMAC RUN #2,$60.00,,$11325.22
04/18/2008,0007476,CHECK,$65.00,,$11260.22
