"Date","Check Number","Description","Debit","Credit","Running Balance"
,,,,,0
"99/99/9999",6468,"VOID CHECK",56.72,,-56.72
"99/99/9999",6481,"VOID CHECK",0,,-56.72
"99/99/9999",6490,"VOID CHECK",0,,-56.72
"99/99/9999",6501,"VOID CHECK",25,,-81.72
"99/99/9999",6514,"VOID CHECK",0,,-81.72
"99/99/9999",6519,"VOID CHECK",25,,-106.72
"99/99/9999",6524,"VOID CHECK",25,,-131.72
"99/99/9999",6540,"VOID CHECK",15.59,,-147.31
"99/99/9999",6549,"VOID CHECK",37.1,,-184.41
"99/99/9999",6648,"VOID CHECK",0,,-184.41
"99/99/9999",6652,"VOID CHECK",0,,-184.41
"99/99/9999",6661,"VOID CHECK",0,,-184.41
"99/99/9999",6679,"VOID CHECK",0,,-184.41
"99/99/9999",6682,"VOID CHECK",0,,-184.41
"99/99/9999",6683,"VOID CHECK",0,,-184.41
"99/99/9999",6702,"VOID CHECK",100.15,,-284.56
"99/99/9999",6722,"VOID CHECK",0,,-284.56
"99/99/9999",6722,"VOID CHECK",0,,-284.56
"99/99/9999",6730,"VOID CHECK",0,,-284.56
"99/99/9999",6763,"VOID CHECK",0,,-284.56
"99/99/9999",6805,"VOID CHECK",0,,-284.56
"99/99/9999",6819,"VOID CHECK",0,,-284.56
"99/99/9999",6829,"VOID CHECK",0,,-284.56
"99/99/9999",6834,"VOID CHECK",0,,-284.56
"99/99/9999",6926,"VOID CHECK",0,,-284.56
"99/99/9999",6936,"VOID CHECK",0,,-284.56
"99/99/9999",6973,"VOID CHECK",0,,-284.56
"99/99/9999",6990,"VOID CHECK",0,,-284.56
"11/05/2006",7078,"VOID CHECK",0,,-50.00
"03/05/2007",7175,"VOID CHECK",0,,-00.00
"03/22/2007",7188,"VOID CHECK",0,,-14.97
"03/22/2007",7189,"VOID CHECK",0,,-62.21
"04/03/2007",7203,"VOID CHECK",0,,-60.45
"99/99/9999",7298,"VOID CHECK",0,,-00.00
"05/18/2007",7247,"VOID CHECK",0,,-50.00
"09/05/2007",7336,"VOID CHECK",0,,-10.00
"10/10/2007",7365,"VOID CHECK",0,,-3000.00
"11/05/2007",7380,"VOID CHECK",0,,-3000.00
"12/02/2007",7390,"VOID CHECK",0,,-3000.00
"12/15/2007",7400,"VOID CHECK",0,,-3000.00
"02/15/2007",7446,"VOID CHECK",0,,-3000.00
